redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance
Tim Elliott,Muhammad Mokaev,Muhammad Mokaev,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Submission,0,0,30 of 43,14 of 33,69%,42%,71 of 87,118 of 146,1 of 1,3 of 6,100%,50%,2,1,3,3:03,"5' 7""","5' 7""","66""","70""",Southpaw,Orthodox
Mohammad Yahya,Trevor Peek,Trevor Peek,UFC 294: Makhachev vs. Volkanovski 2,Daniel Movahedi,Decision - Unanimous,0,0,43 of 92,61 of 97,46%,62%,47 of 96,83 of 123,1 of 1,4 of 7,100%,57%,1,0,3,5:00,"5' 9""","5' 9""","73""","70""",Switch,Switch
Javid Basharat,Victor Henry,,UFC 294: Makhachev vs. Volkanovski 2,Lukasz Bosacki,Could Not Continue,0,0,30 of 43,25 of 36,69%,69%,33 of 46,30 of 41,1 of 4,0 of 1,25%,0%,0,0,2,0:15,"5' 9""","5' 7""","69""","68""",Orthodox,Switch
Abu Azaitar,Sedriques Dumas,Sedriques Dumas,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Decision - Unanimous,0,0,41 of 106,34 of 79,38%,43%,87 of 153,72 of 117,2 of 4,1 of 2,50%,50%,0,0,3,5:00,"5' 9""","6' 2""","76""","79""",Orthodox,Orthodox
Mike Breeden,Anshul Jubli,Mike Breeden,UFC 294: Makhachev vs. Volkanovski 2,Marc Goddard,KO/TKO,1,0,92 of 177,103 of 194,51%,53%,94 of 181,104 of 195,0 of 1,0 of 5,0%,0%,0,0,3,3:00,"5' 10""","6' 0""","70""","69""",Orthodox,Switch
Nathaniel Wood,Muhammad Naimov,Muhammad Naimov,UFC 294: Makhachev vs. Volkanovski 2,Lukasz Bosacki,Decision - Unanimous,0,0,50 of 72,48 of 81,69%,59%,70 of 94,100 of 140,2 of 7,4 of 9,28%,44%,0,0,3,5:00,"5' 6""","5' 9""","69""","70""",Orthodox,Orthodox
Viktoriia Dudakova,Jinh Yu Frey,Viktoriia Dudakova,UFC 294: Makhachev vs. Volkanovski 2,Daniel Movahedi,Decision - Unanimous,1,0,74 of 146,47 of 101,50%,46%,109 of 183,65 of 121,0 of 3,1 of 3,0%,33%,0,0,3,5:00,"5' 5""","5' 3""","67""","65""",Orthodox,Southpaw
Shara Magomedov,Bruno Silva,Shara Magomedov,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Decision - Unanimous,0,0,113 of 154,65 of 91,73%,71%,222 of 274,107 of 138,0 of 0,3 of 7,---,42%,0,0,3,5:00,"6' 2""","6' 0""","73""","74""",Orthodox,Orthodox
Sodiq Yusuff,Edson Barboza,Edson Barboza,UFC Fight Night: Yusuff vs. Barboza,Herb Dean,Decision - Unanimous,1,1,178 of 351,164 of 324,50%,50%,206 of 397,178 of 347,1 of 2,3 of 4,50%,75%,0,0,5,5:00,"5' 9""","5' 11""","71""","75""",Orthodox,Orthodox
Jennifer Maia,Viviane Araujo,Viviane Araujo,UFC Fight Night: Yusuff vs. Barboza,Mark Smith,Decision - Unanimous,0,0,41 of 101,24 of 46,40%,52%,60 of 126,64 of 100,2 of 4,2 of 6,50%,33%,0,1,3,5:00,"5' 4""","5' 4""","64""","68""",Orthodox,Orthodox
Jonathan Martinez,Adrian Yanez,Jonathan Martinez,UFC Fight Night: Yusuff vs. Barboza,Kerry Hatley,KO/TKO,2,0,36 of 58,20 of 72,62%,27%,36 of 60,20 of 73,0 of 0,0 of 0,---,---,0,0,2,2:26,"5' 8""","5' 7""","70""","70""",Southpaw,Orthodox
Andre Petroski,Michel Pereira,Michel Pereira,UFC Fight Night: Yusuff vs. Barboza,Chris Tognoni,KO/TKO,0,1,0 of 1,6 of 18,0%,33%,0 of 1,6 of 18,0 of 0,0 of 0,---,---,0,0,1,1:06,"6' 0""","6' 1""","73""","73""",Switch,Orthodox
Christian Rodriguez,Cameron Saaiman,Christian Rodriguez,UFC Fight Night: Yusuff vs. Barboza,Mark Smith,Decision - Unanimous,0,0,83 of 161,73 of 175,51%,41%,92 of 173,87 of 192,3 of 6,0 of 5,50%,0%,2,1,3,5:00,"5' 7""","5' 8""","71""","67""",Orthodox,Southpaw
Darren Elkins,TJ Brown,Darren Elkins,UFC Fight Night: Yusuff vs. Barboza,Kerry Hatley,Submission,0,0,11 of 33,15 of 50,33%,30%,95 of 146,45 of 86,5 of 8,2 of 2,62%,100%,2,0,3,2:23,"5' 10""","5' 9""","71""","72""",Orthodox,Switch
Tainara Lisboa,Ravena Oliveira,Tainara Lisboa,UFC Fight Night: Yusuff vs. Barboza,Chris Tognoni,Decision - Unanimous,0,0,18 of 35,15 of 31,51%,48%,77 of 106,61 of 87,3 of 8,2 of 3,37%,66%,0,0,3,5:00,"5' 7""","5' 5""","67""","65""",Orthodox,Orthodox
Terrance McKinney,Brendon Marotte,Terrance McKinney,UFC Fight Night: Yusuff vs. Barboza,Herb Dean,KO/TKO,1,0,14 of 21,1 of 1,66%,100%,14 of 21,1 of 1,0 of 0,0 of 0,---,---,0,0,1,0:20,"5' 10""","5' 9""","73""","70""",Switch,Orthodox
Irina Alekseeva,Melissa Dixon,Melissa Dixon,UFC Fight Night: Yusuff vs. Barboza,Mark Smith,Decision - Unanimous,1,0,48 of 108,52 of 95,44%,54%,60 of 126,87 of 148,1 of 4,0 of 1,25%,0%,0,0,3,5:00,"5' 8""","5' 7""","67""","68""",Orthodox,Orthodox
Chris Gutierrez,Alatengheili,Chris Gutierrez,UFC Fight Night: Yusuff vs. Barboza,Kerry Hatley,Decision - Unanimous,0,0,110 of 197,38 of 133,55%,28%,115 of 203,39 of 134,0 of 0,2 of 4,---,50%,0,0,3,5:00,"5' 9""","5' 5""","67""","66""",Orthodox,Orthodox
Ashley Yoder,Emily Ducote,Emily Ducote,UFC Fight Night: Yusuff vs. Barboza,Chris Tognoni,Decision - Unanimous,0,0,102 of 269,117 of 210,37%,55%,105 of 276,119 of 213,0 of 3,1 of 1,0%,100%,0,0,3,5:00,"5' 7""","5' 2""","69""","63""",Southpaw,Orthodox
Grant Dawson,Bobby Green,Bobby Green,UFC Fight Night: Dawson vs. Green,Keith Peterson,KO/TKO,0,1,0 of 6,7 of 11,0%,63%,0 of 6,7 of 11,0 of 0,0 of 0,---,---,0,0,1,0:33,"5' 10""","5' 10""","72""","71""",Switch,Orthodox
Joe Pyfer,Abdul Razak Alhassan,Joe Pyfer,UFC Fight Night: Dawson vs. Green,Mark Smith,Submission,0,0,26 of 62,11 of 28,41%,39%,26 of 63,11 of 28,3 of 4,0 of 0,75%,---,2,1,2,2:05,"6' 2""","5' 10""","75""","73""",Orthodox,Orthodox
Alex Morono,Joaquin Buckley,Joaquin Buckley,UFC Fight Night: Dawson vs. Green,Kerry Hatley,Decision - Unanimous,0,0,40 of 141,68 of 176,28%,38%,54 of 161,77 of 186,1 of 2,2 of 4,50%,50%,0,0,3,5:00,"5' 11""","5' 10""","72""","76""",Orthodox,Southpaw
Drew Dober,Ricky Glenn,Drew Dober,UFC Fight Night: Dawson vs. Green,Chris Tognoni,KO/TKO,1,0,30 of 53,5 of 22,56%,22%,30 of 53,5 of 22,0 of 0,0 of 1,---,0%,0,0,1,2:36,"5' 8""","6' 0""","70""","70""",Southpaw,Southpaw
Alexander Hernandez,Bill Algeo,Bill Algeo,UFC Fight Night: Dawson vs. Green,Keith Peterson,Decision - Unanimous,0,1,75 of 156,110 of 244,48%,45%,76 of 157,119 of 257,0 of 1,1 of 1,0%,100%,0,0,3,5:00,"5' 9""","6' 0""","72""","73""",Orthodox,Switch
Karolina Kowalkiewicz,Diana Belbita,Karolina Kowalkiewicz,UFC Fight Night: Dawson vs. Green,Kerry Hatley,Decision - Unanimous,0,0,141 of 267,99 of 261,52%,37%,155 of 283,108 of 270,1 of 6,2 of 2,16%,100%,0,0,3,5:00,"5' 3""","5' 7""","64""","68""",Orthodox,Orthodox
Nate Maness,Mateus Mendonca,Nate Maness,UFC Fight Night: Dawson vs. Green,Chris Tognoni,KO/TKO,0,0,29 of 35,3 of 7,82%,42%,103 of 114,9 of 16,0 of 0,0 of 3,---,0%,0,0,1,4:40,"5' 10""","5' 6""","72""","71""",Orthodox,Orthodox
Vanessa Demopoulos,Kanako Murata,Vanessa Demopoulos,UFC Fight Night: Dawson vs. Green,Mark Smith,Decision - Unanimous,0,0,31 of 65,34 of 64,47%,53%,86 of 144,70 of 116,0 of 1,5 of 6,0%,83%,0,0,3,5:00,"5' 2""","5' 1""","59""","62""",Orthodox,Orthodox
Aoriqileng,Johnny Munoz,Aoriqileng,UFC Fight Night: Dawson vs. Green,Keith Peterson,Decision - Unanimous,1,0,44 of 66,7 of 36,66%,19%,120 of 159,31 of 73,2 of 4,4 of 11,50%,36%,0,3,3,5:00,"5' 7""","5' 9""","69""","71""",Orthodox,Orthodox
Montana De La Rosa,JJ Aldrich,JJ Aldrich,UFC Fight Night: Dawson vs. Green,Jacob Montalvo,Decision - Unanimous,0,0,67 of 204,65 of 135,32%,48%,70 of 209,66 of 136,0 of 1,0 of 0,0%,---,0,0,3,5:00,"5' 7""","5' 5""","68""","67""",Orthodox,Southpaw
Rafael Fiziev,Mateusz Gamrot,Mateusz Gamrot,UFC Fight Night: Fiziev vs. Gamrot,Herb Dean,KO/TKO,0,0,18 of 32,16 of 40,56%,40%,19 of 34,17 of 42,0 of 0,1 of 6,---,16%,0,0,2,2:03,"5' 8""","5' 10""","71""","70""",Switch,Southpaw
Bryce Mitchell,Dan Ige,Bryce Mitchell,UFC Fight Night: Fiziev vs. Gamrot,Mark Smith,Decision - Unanimous,0,0,23 of 40,18 of 55,57%,32%,37 of 59,32 of 72,5 of 15,0 of 0,33%,---,1,0,3,5:00,"5' 10""","5' 7""","70""","71""",Southpaw,Orthodox
Marina Rodriguez,Michelle Waterson-Gomez,Marina Rodriguez,UFC Fight Night: Fiziev vs. Gamrot,Kerry Hatley,KO/TKO,0,0,70 of 102,13 of 32,68%,40%,90 of 130,16 of 37,1 of 1,1 of 6,100%,16%,0,0,2,2:42,"5' 6""","5' 3""","65""","62""",Orthodox,Orthodox
Bryan Battle,AJ Fletcher,Bryan Battle,UFC Fight Night: Fiziev vs. Gamrot,Dan Miragliotta,Submission,0,0,45 of 80,25 of 51,56%,49%,63 of 105,29 of 57,1 of 2,0 of 2,50%,0%,1,0,2,4:32,"6' 1""","5' 10""","77""","67""",Orthodox,Switch
Ricardo Ramos,Charles Jourdain,Charles Jourdain,UFC Fight Night: Fiziev vs. Gamrot,Herb Dean,Submission,0,0,0 of 9,8 of 9,0%,88%,0 of 10,8 of 10,2 of 3,0 of 0,66%,---,1,1,1,3:12,"5' 9""","5' 9""","72""","69""",Orthodox,Switch
Dan Argueta,Miles Johns,,UFC Fight Night: Fiziev vs. Gamrot,Kerry Hatley,Overturned,0,0,33 of 85,43 of 92,38%,46%,38 of 95,52 of 104,2 of 6,2 of 6,33%,33%,2,0,3,5:00,"5' 7""","5' 7""","68""","66""",Southpaw,Orthodox
Tim Means,Andre Fialho,Tim Means,UFC Fight Night: Fiziev vs. Gamrot,Dan Miragliotta,KO/TKO,2,0,104 of 143,51 of 103,72%,49%,134 of 178,56 of 110,0 of 2,1 of 1,0%,100%,0,0,3,1:15,"6' 2""","6' 0""","75""","74""",Orthodox,Orthodox
Jacob Malkoun,Cody Brundage,Cody Brundage,UFC Fight Night: Fiziev vs. Gamrot,Mark Smith,DQ,0,0,28 of 39,2 of 4,71%,50%,44 of 60,3 of 5,1 of 3,1 of 1,33%,100%,0,0,1,4:15,"5' 9""","6' 0""","73""","72""",Orthodox,Orthodox
Mohammed Usman,Jake Collier,Mohammed Usman,UFC Fight Night: Fiziev vs. Gamrot,Dan Miragliotta,Decision - Unanimous,0,0,85 of 191,87 of 183,44%,47%,118 of 234,100 of 198,1 of 3,0 of 0,33%,---,0,2,3,5:00,"6' 2""","6' 3""","79""","78""",Orthodox,Orthodox
Mizuki,Hannah Goldy,Mizuki,UFC Fight Night: Fiziev vs. Gamrot,Mark Smith,Decision - Unanimous,0,0,55 of 105,47 of 95,52%,49%,83 of 140,64 of 123,1 of 2,1 of 14,50%,7%,0,0,3,5:00,"5' 3""","5' 4""","65""","61""",Orthodox,Orthodox
Tamires Vidal,Montserrat Rendon,Montserrat Rendon,UFC Fight Night: Fiziev vs. Gamrot,Kerry Hatley,Decision - Split,0,0,60 of 109,69 of 182,55%,37%,78 of 131,112 of 240,0 of 3,3 of 5,0%,60%,1,0,3,5:00,"5' 6""","5' 8""","68""","68""",Orthodox,Orthodox
Alexa Grasso,Valentina Shevchenko,,UFC Fight Night: Grasso vs. Shevchenko 2,Herb Dean,Decision - Split,1,0,84 of 203,80 of 179,41%,44%,262 of 408,199 of 301,1 of 2,4 of 7,50%,57%,1,1,5,5:00,"5' 5""","5' 5""","66""","66""",Orthodox,Southpaw
Kevin Holland,Jack Della Maddalena,Jack Della Maddalena,UFC Fight Night: Grasso vs. Shevchenko 2,Jason Herzog,Decision - Split,0,0,127 of 356,105 of 190,35%,55%,127 of 356,105 of 190,0 of 2,0 of 0,0%,---,0,0,3,5:00,"6' 3""","5' 11""","81""","73""",Orthodox,Switch
Raul Rosas Jr.,Terrence Mitchell,Raul Rosas Jr.,UFC Fight Night: Grasso vs. Shevchenko 2,Mark Smith,KO/TKO,1,0,18 of 30,6 of 19,60%,31%,19 of 31,6 of 19,0 of 0,0 of 0,---,---,0,0,1,0:54,"5' 9""","5' 10""","67""","74""",Switch,Orthodox
Daniel Zellhuber,Christos Giagos,Daniel Zellhuber,UFC Fight Night: Grasso vs. Shevchenko 2,Jason Herzog,Submission,0,0,36 of 101,38 of 82,35%,46%,36 of 101,38 of 82,0 of 0,0 of 6,---,0%,1,0,2,3:26,"6' 1""","5' 10""","77""","71""",Switch,Orthodox
Fernando Padilla,Kyle Nelson,Kyle Nelson,UFC Fight Night: Grasso vs. Shevchenko 2,Chris Tognoni,Decision - Unanimous,0,0,72 of 208,82 of 184,34%,44%,73 of 209,83 of 185,0 of 1,0 of 3,0%,0%,0,0,3,5:00,"6' 1""","5' 11""","76""","71""",Orthodox,Switch
Loopy Godinez,Elise Reed,Loopy Godinez,UFC Fight Night: Grasso vs. Shevchenko 2,Herb Dean,Submission,1,0,21 of 31,3 of 13,67%,23%,37 of 51,34 of 48,5 of 5,0 of 1,100%,0%,6,0,2,3:38,"5' 2""","5' 3""","61""","63""",Orthodox,Orthodox
Roman Kopylov,Josh Fremd,Roman Kopylov,UFC Fight Night: Grasso vs. Shevchenko 2,Mark Smith,KO/TKO,1,0,49 of 84,38 of 116,58%,32%,54 of 90,38 of 116,0 of 0,0 of 5,---,0%,0,0,2,4:44,"6' 0""","6' 4""","75""","76""",Southpaw,Orthodox
Edgar Chairez,Daniel Lacerda,,UFC Fight Night: Grasso vs. Shevchenko 2,Chris Tognoni,Overturned,0,0,12 of 20,4 of 14,60%,28%,12 of 20,8 of 18,0 of 0,1 of 2,---,50%,1,0,1,3:47,"5' 7""","5' 6""","71""","70""",Orthodox,Switch
Tracy Cortez,Jasmine Jasudavicius,Tracy Cortez,UFC Fight Night: Grasso vs. Shevchenko 2,Jason Herzog,Decision - Unanimous,0,0,103 of 212,77 of 206,48%,37%,116 of 225,95 of 225,0 of 1,2 of 10,0%,20%,0,0,3,5:00,"5' 5""","5' 7""","65""","68""",Orthodox,Orthodox
Alex Reyes,Charlie Campbell,Charlie Campbell,UFC Fight Night: Grasso vs. Shevchenko 2,Mark Smith,KO/TKO,0,1,14 of 38,43 of 72,36%,59%,15 of 39,43 of 72,0 of 2,0 of 0,0%,---,0,0,1,3:38,"5' 11""","6' 0""","73""","72""",Orthodox,Orthodox
Josefine Knutsson,Marnic Mann,Josefine Knutsson,UFC Fight Night: Grasso vs. Shevchenko 2,Chris Tognoni,Decision - Unanimous,0,0,81 of 128,8 of 29,63%,27%,147 of 206,39 of 64,3 of 4,0 of 2,75%,0%,0,0,3,5:00,"5' 3""","5' 0""","60""","64""",Orthodox,Southpaw
Israel Adesanya,Sean Strickland,Sean Strickland,UFC 293: Adesanya vs. Strickland,Marc Goddard,Decision - Unanimous,0,1,94 of 271,137 of 259,34%,52%,94 of 271,137 of 259,0 of 0,0 of 0,---,---,0,0,5,5:00,"6' 4""","6' 1""","80""","76""",Switch,Orthodox
Tai Tuivasa,Alexander Volkov,Alexander Volkov,UFC 293: Adesanya vs. Strickland,Herb Dean,Submission,0,1,28 of 67,93 of 143,41%,65%,30 of 69,107 of 164,0 of 0,0 of 1,---,0%,0,1,2,4:37,"6' 2""","6' 7""","75""","80""",Southpaw,Orthodox
Manel Kape,Felipe dos Santos,Manel Kape,UFC 293: Adesanya vs. Strickland,Greg Kleynjans,Decision - Unanimous,1,0,112 of 182,99 of 304,61%,32%,116 of 186,101 of 310,1 of 1,0 of 5,100%,0%,0,0,3,5:00,"5' 5""","5' 7""","68""","70""",Southpaw,Orthodox
Justin Tafa,Austen Lane,Justin Tafa,UFC 293: Adesanya vs. Strickland,Jim Perdios,KO/TKO,1,0,11 of 14,7 of 14,78%,50%,11 of 14,7 of 15,0 of 0,0 of 0,---,---,0,0,1,1:22,"6' 0""","6' 6""","74""","80""",Southpaw,Orthodox
Tyson Pedro,Anton Turkalj,Tyson Pedro,UFC 293: Adesanya vs. Strickland,Marc Goddard,KO/TKO,1,0,16 of 29,8 of 24,55%,33%,16 of 29,9 of 25,0 of 0,0 of 0,---,---,0,0,1,2:12,"6' 3""","6' 4""","79""","78""",Orthodox,Orthodox
Carlos Ulberg,Da Woon Jung,Carlos Ulberg,UFC 293: Adesanya vs. Strickland,Herb Dean,Submission,1,0,81 of 154,58 of 120,52%,48%,91 of 165,60 of 123,1 of 2,1 of 2,50%,50%,1,0,3,4:49,"6' 4""","6' 4""","77""","78""",Orthodox,Orthodox
Jack Jenkins,Chepe Mariscal,Chepe Mariscal,UFC 293: Adesanya vs. Strickland,Greg Kleynjans,KO/TKO,0,0,41 of 68,38 of 87,60%,43%,43 of 70,87 of 143,0 of 1,1 of 1,0%,100%,0,0,2,3:19,"5' 7""","5' 7""","68""","69""",Switch,Orthodox
Jamie Mullarkey,John Makdessi,Jamie Mullarkey,UFC 293: Adesanya vs. Strickland,Jim Perdios,Decision - Unanimous,0,0,88 of 179,83 of 188,49%,44%,88 of 179,85 of 190,0 of 2,0 of 1,0%,0%,0,0,3,5:00,"6' 0""","5' 8""","74""","68""",Orthodox,Orthodox
Nasrat Haqparast,Landon Quinones,Nasrat Haqparast,UFC 293: Adesanya vs. Strickland,Marc Goddard,Decision - Unanimous,0,0,171 of 377,148 of 354,45%,41%,172 of 378,152 of 359,0 of 5,0 of 0,0%,---,0,0,3,5:00,"5' 10""","5' 9""","72""","70""",Southpaw,Southpaw
Blood Diamond,Charles Radtke,Charles Radtke,UFC 293: Adesanya vs. Strickland,Herb Dean,Decision - Unanimous,0,0,44 of 94,35 of 76,46%,46%,75 of 136,63 of 112,0 of 3,1 of 6,0%,16%,0,0,3,5:00,"5' 11""","5' 9""","76""","72""",Switch,Orthodox
Shane Young,Gabriel Miranda,Gabriel Miranda,UFC 293: Adesanya vs. Strickland,Greg Kleynjans,Submission,0,0,1 of 4,2 of 6,25%,33%,1 of 4,2 of 6,0 of 0,1 of 2,---,50%,0,1,1,0:59,"5' 8""","5' 11""","72""","71""",Orthodox,Orthodox
Kevin Jousset,Kiefer Crosbie,Kevin Jousset,UFC 293: Adesanya vs. Strickland,Jim Perdios,Submission,0,0,29 of 58,39 of 59,50%,66%,39 of 69,45 of 66,1 of 1,0 of 0,100%,---,1,0,1,4:49,"6' 2""","5' 11""","75""","70""",Orthodox,Switch
Ciryl Gane,Serghei Spivac,Ciryl Gane,UFC Fight Night: Gane vs. Spivac,Marc Goddard,KO/TKO,0,0,109 of 156,11 of 44,69%,25%,110 of 157,11 of 44,0 of 0,0 of 1,---,0%,0,0,2,3:44,"6' 4""","6' 3""","81""","78""",Orthodox,Orthodox
Manon Fiorot,Rose Namajunas,Manon Fiorot,UFC Fight Night: Gane vs. Spivac,Rich Mitchell,Decision - Unanimous,0,0,58 of 225,60 of 150,25%,40%,62 of 232,60 of 152,0 of 1,0 of 6,0%,0%,0,0,3,5:00,"5' 7""","5' 5""","65""","65""",Orthodox,Orthodox
Benoit Saint Denis,Thiago Moises,Benoit Saint Denis,UFC Fight Night: Gane vs. Spivac,Lukasz Bosacki,KO/TKO,0,0,101 of 182,24 of 62,55%,38%,123 of 210,27 of 67,5 of 9,1 of 3,55%,33%,0,1,2,4:44,"5' 11""","5' 9""","73""","70""",Southpaw,Orthodox
Volkan Oezdemir,Bogdan Guskov,Volkan Oezdemir,UFC Fight Night: Gane vs. Spivac,Marc Goddard,Submission,1,0,26 of 46,8 of 25,56%,32%,36 of 64,10 of 27,1 of 1,0 of 0,100%,---,1,0,1,3:46,"6' 2""","6' 3""","75""","76""",Orthodox,Orthodox
William Gomis,Yanis Ghemmouri,William Gomis,UFC Fight Night: Gane vs. Spivac,Loic Pora,KO/TKO,0,0,52 of 88,28 of 73,59%,38%,61 of 99,40 of 88,0 of 0,0 of 4,---,0%,2,0,3,2:20,"6' 0""","5' 9""","73""","69""",Southpaw,Orthodox
Morgan Charriere,Manolo Zecchini,Morgan Charriere,UFC Fight Night: Gane vs. Spivac,Rich Mitchell,KO/TKO,1,0,26 of 49,9 of 41,53%,21%,26 of 49,9 of 41,0 of 0,0 of 0,---,---,0,0,1,3:51,"5' 8""","5' 8""","69""","68""",Orthodox,Orthodox
Taylor Lapilus,Caolan Loughran,Taylor Lapilus,UFC Fight Night: Gane vs. Spivac,Lukasz Bosacki,Decision - Unanimous,0,0,84 of 163,48 of 132,51%,36%,87 of 166,70 of 166,0 of 0,2 of 11,---,18%,0,0,3,5:00,"5' 6""","5' 6""","73""","68""",Southpaw,Orthodox
Ange Loosa,Rhys McKee,Ange Loosa,UFC Fight Night: Gane vs. Spivac,Loic Pora,Decision - Unanimous,0,0,98 of 182,77 of 183,53%,42%,124 of 220,90 of 198,6 of 10,0 of 0,60%,---,0,0,3,5:00,"5' 10""","6' 2""","74""","78""",Orthodox,Orthodox
Nora Cornolle,Joselyne Edwards,Nora Cornolle,UFC Fight Night: Gane vs. Spivac,Lukasz Bosacki,Decision - Unanimous,0,0,40 of 77,18 of 42,51%,42%,85 of 134,75 of 120,0 of 0,5 of 8,---,62%,0,1,3,5:00,"5' 7""","5' 8""","67""","70""",Orthodox,Orthodox
Farid Basharat,Kleydson Rodrigues,Farid Basharat,UFC Fight Night: Gane vs. Spivac,Loic Pora,Submission,0,0,4 of 6,7 of 8,66%,87%,25 of 36,25 of 26,2 of 5,0 of 0,40%,---,1,0,1,4:15,"5' 8""","5' 5""","71""","67""",Orthodox,Orthodox
Zarah Fairn,Jacqueline Cavalcanti,Jacqueline Cavalcanti,UFC Fight Night: Gane vs. Spivac,Rich Mitchell,Decision - Unanimous,0,0,39 of 259,126 of 221,15%,57%,39 of 259,127 of 222,0 of 2,0 of 1,0%,0%,0,0,3,5:00,"5' 8""","5' 8""","72""","70""",Orthodox,Orthodox
Max Holloway,Chan Sung Jung,Max Holloway,UFC Fight Night: Holloway vs. The Korean Zombie,,KO/TKO,2,0,75 of 128,34 of 124,58%,27%,75 of 128,35 of 126,0 of 0,0 of 1,---,0%,1,0,3,0:23,"5' 11""","5' 7""","69""","72""",Orthodox,Orthodox
Anthony Smith,Ryan Spann,Anthony Smith,UFC Fight Night: Holloway vs. The Korean Zombie,Mark Craig,Decision - Split,0,0,91 of 147,59 of 187,61%,31%,91 of 147,62 of 191,1 of 3,0 of 1,33%,0%,0,0,3,5:00,"6' 4""","6' 5""","76""","79""",Orthodox,Orthodox
Giga Chikadze,Alex Caceres,Giga Chikadze,UFC Fight Night: Holloway vs. The Korean Zombie,Marc Goddard,Decision - Unanimous,0,0,65 of 141,62 of 168,46%,36%,65 of 141,62 of 168,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 0""","5' 10""","74""","73""",Orthodox,Southpaw
Rinya Nakamura,Fernie Garcia,Rinya Nakamura,UFC Fight Night: Holloway vs. The Korean Zombie,Kevin Sataki,Decision - Unanimous,0,0,36 of 57,15 of 66,63%,22%,56 of 84,50 of 106,4 of 4,0 of 0,100%,---,3,1,3,5:00,"5' 7""","5' 7""","68""","67""",Southpaw,Orthodox
Erin Blanchfield,Taila Santos,Erin Blanchfield,UFC Fight Night: Holloway vs. The Korean Zombie,Thomas Fan,Decision - Unanimous,0,0,61 of 128,55 of 151,47%,36%,119 of 210,96 of 202,0 of 14,0 of 3,0%,0%,0,0,3,5:00,"5' 4""","5' 6""","66""","68""",Orthodox,Orthodox
Junior Tafa,Parker Porter,Junior Tafa,UFC Fight Night: Holloway vs. The Korean Zombie,Marc Goddard,KO/TKO,1,0,8 of 13,2 of 9,61%,22%,11 of 16,3 of 10,0 of 0,0 of 1,---,0%,0,0,1,1:24,"6' 3""","6' 0""","75""","75""",Orthodox,Orthodox
Waldo Cortes-Acosta,Lukasz Brzeski,Waldo Cortes-Acosta,UFC Fight Night: Holloway vs. The Korean Zombie,Mark Craig,KO/TKO,1,0,15 of 45,14 of 22,33%,63%,16 of 46,15 of 23,0 of 0,0 of 0,---,---,0,0,1,3:01,"6' 4""","6' 4""","78""","78""",Orthodox,Orthodox
Toshiomi Kazama,Garrett Armfield,Garrett Armfield,UFC Fight Night: Holloway vs. The Korean Zombie,Kevin Sataki,KO/TKO,0,1,15 of 31,45 of 77,48%,58%,15 of 31,45 of 77,0 of 2,0 of 0,0%,---,0,0,1,4:16,"5' 7""","5' 6""","69""","70""",Orthodox,Orthodox
Chidi Njokuani,Michal Oleksiejczuk,Michal Oleksiejczuk,UFC Fight Night: Holloway vs. The Korean Zombie,Thomas Fan,KO/TKO,0,0,29 of 57,44 of 72,50%,61%,30 of 58,54 of 85,0 of 2,1 of 1,0%,100%,0,0,1,4:16,"6' 3""","6' 0""","80""","74""",Orthodox,Southpaw
Song Kenan,Rolando Bedoya,Song Kenan,UFC Fight Night: Holloway vs. The Korean Zombie,Marc Goddard,Decision - Unanimous,1,0,75 of 149,112 of 258,50%,43%,85 of 161,112 of 260,0 of 0,0 of 4,---,0%,0,0,3,5:00,"6' 0""","5' 11""","71""","74""",Orthodox,Orthodox
Billy Goff,Yusaku Kinoshita,Billy Goff,UFC Fight Night: Holloway vs. The Korean Zombie,Mark Craig,KO/TKO,1,0,40 of 85,17 of 53,47%,32%,43 of 89,17 of 53,0 of 1,0 of 0,0%,---,0,0,1,3:49,"5' 10""","6' 0""","72""","71""",Switch,Southpaw
Liang Na,JJ Aldrich,JJ Aldrich,UFC Fight Night: Holloway vs. The Korean Zombie,Kevin Sataki,KO/TKO,0,0,11 of 41,47 of 65,26%,72%,27 of 61,68 of 89,3 of 4,0 of 0,75%,---,0,0,2,4:49,"5' 5""","5' 5""","67""","67""",Orthodox,Southpaw
SeungWoo Choi,Jarno Errens,SeungWoo Choi,UFC Fight Night: Holloway vs. The Korean Zombie,Thomas Fan,Decision - Unanimous,1,1,56 of 115,30 of 76,48%,39%,108 of 179,40 of 88,1 of 1,0 of 4,100%,0%,0,0,3,5:00,"6' 0""","5' 11""","74""","73""",Orthodox,Orthodox
