name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Jerrod Sanders,JReazie,16,3,0,44,49,0,0.64,2.2,0.33,1.6,68,72,0,0.88,6.833333333,1.14,0.46,0.5
Jessamyn Duke,The Gun,3,5,0,37,49,0,0.53,1.27,0.36,1.9,71,73,0,4.83,11.85,4.43,0.57,0.5
Jesse Butler,105,12,5,0,31,49,0,0.14,0,0,0,70,73,0,2.61,0.383333333,7.83,0.4,0
Jesse Forbes,Kid Hercules,15,5,0,39,49,0.6,0.24,1.79,0.75,1.2,74,75,1,2.11,6.283333333,4.06,0.53,0.66
Jesse Lennox,The Ox,14,4,0,41,49,0,0.32,1.22,0.66,0.3,69,72,0,2.69,12.26666667,3.2,0.64,0.63
Jesse Ronson,The Body Snatcher,21,12,0,38,11,0.23,0.47,0.46,0.28,0.5,70,70,1,3.54,10.96666667,3.39,0.57,0.57
Jesse Strader,Sui Generis,5,3,0,32,49,0,0.51,3.87,0.57,0,67,70,0,5.03,7.766666667,5.28,0.47,1
Jesse Taylor,JT Money,31,15,0,41,49,0,0.65,7.28,0.5,3.1,72,73,0,1.94,5.883333333,0.55,0.38,1
Jessica Aguilar,Jag,20,8,0,41,49,0,0.5,0.94,0.25,0.2,63,63,0,4.93,12.73333333,7.19,0.53,0.5
Jessica Andrade,Bate Estaca,25,12,0,32,18,0.44,0.5,2.45,0.54,0.4,61,62,0,6.67,9.183333333,5.36,0.54,0.72
Jessica Eye,Evil,15,11,0,37,49,0,0.37,0.58,0.4,0.5,66,66,0,3.86,14.5,4.19,0.55,0.57
Jessica Penne,530,14,8,0,41,49,0,0.31,1.32,0.21,0.6,65,67,0,2.52,11.38333333,4.75,0.46,0.36
JessicaRose Clark,133,11,9,0,36,34,0,0.51,1.66,0.42,0.3,65,64,0,3.73,12.01666667,3.51,0.58,0.62
Jessin Ayari,50,16,6,0,31,76,0,0.37,0,0,0.3,72,73,0,3.53,11.55,3.59,0.58,0.5
Jesus Aguilar,4,9,2,0,27,47,0.91,0.49,2.72,0.37,1.8,64,62,0,1.69,5.516666667,1.03,0.63,0
Jhonata Diniz,176,6,0,0,32,100,9.23,0.42,0,0,0,76,79,0,7.69,3.25,7.38,0.36,1
Jhonata Silva,656,8,2,0,26,100,0,0.52,0,0,0,65,66,0,4.86,7.616666667,9.85,0.44,0
Jhonoven Pati,The Samoan Savage,6,4,0,33,100,0,0.53,2.7,1,0,73,75,3,2.88,5.55,6.13,0.33,0
Ji Yeon Kim,Firefist,9,7,2,34,7,0.11,0.36,0,0,0.1,67,72,0,5.37,14.18333333,5.41,0.56,0.5
Jim Alers,The Beast,13,3,0,37,49,0.32,0.4,2.26,0.41,0.3,69,71,0,2.9,11.63333333,4.38,0.56,0.8
Jimi Manuwa,Poster Boy,17,6,0,43,49,0.53,0.54,0.53,0.18,0.4,73,79,0,3.43,7.033333333,3.97,0.49,0.7
Jimmie Rivera,El Terror,23,5,0,34,49,0.33,0.4,0.88,0.27,0.1,64,68,0,4.03,12.45,3.9,0.6,0.92
