redCorner,blueCorner,winner,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance,redCorner_sig_str_landed_per_minute,blueCorner_sig_str_landed_per_minute,redCorner_fightTime,blueCorner_fightTime,redCorner_sig_str_absorbed_per_minute,blueCorner_sig_str_absorbed_per_minute,redCorner_sig_str_defense,blueCorner_sig_str_defense,redCorner_takedown_defense,blueCorner_takedown_defense
0,1,1,13.0,12.0,6.0,0.0,0.0,0.0,33.0,27.0,49.0,18.0,0.0,0.0,0.55,0.64,0.19,3.35,0.14,0.19,0.2,0.7,69.0,68.0,70.0,69.0,3.0,0.0,4.34,2.94,13.266666666666667,11.216666666666669,3.27,3.35,0.54,0.34,0.62,0.0
0,1,1,29.0,9.0,4.0,2.0,1.0,0.0,31.0,36.0,114.0,18.0,0.61,0.57,0.55,0.62,0.61,0.19,0.5,1.0,0.3,0.4,75.0,76.0,80.0,79.0,0.0,0.0,5.31,5.0,12.25,11.2,5.17,3.65,0.4,0.5,0.68,0.7
0,1,1,18.0,14.0,2.0,3.0,0.0,0.0,31.0,30.0,71.0,81.0,5.9,3.46,0.48,0.66,0.0,3.46,0.0,1.0,0.0,1.7,75.0,77.0,84.0,78.0,1.0,0.0,8.21,7.72,2.216666666666667,2.1666666666666665,4.61,2.77,0.55,0.66,0.75,1.0
0,1,0,25.0,13.0,12.0,4.0,0.0,0.0,32.0,30.0,18.0,49.0,0.44,0.19,0.5,0.4,2.45,0.77,0.54,0.14,0.4,1.4,61.0,64.0,62.0,63.0,0.0,0.0,6.67,3.49,9.183333333333334,13.066666666666666,5.36,4.21,0.54,0.51,0.72,0.4
0,1,1,11.0,13.0,4.0,1.0,1.0,0.0,33.0,28.0,49.0,87.0,1.3,1.4,0.42,0.52,2.59,4.55,0.4,0.36,0.9,1.4,69.0,71.0,71.0,73.0,0.0,1.0,3.71,5.53,7.366666666666666,7.15,3.57,5.2,0.59,0.44,0.42,0.66
0,1,0,23.0,18.0,6.0,5.0,0.0,0.0,29.0,33.0,18.0,49.0,0.53,0.27,0.53,0.59,0.0,3.73,0.0,0.42,5.3,1.9,71.0,68.0,72.0,70.0,0.0,0.0,2.47,2.02,7.083333333333333,8.05,4.91,1.54,0.37,0.49,0.42,0.5
0,1,0,11.0,13.0,1.0,4.0,0.0,0.0,28.0,28.0,34.0,18.0,0.0,0.62,0.48,0.46,2.0,0.31,0.33,0.16,1.0,0.0,68.0,64.0,68.0,67.0,0.0,0.0,4.27,3.75,15.0,12.066666666666666,3.57,3.61,0.49,0.56,0.77,0.9
0,1,0,18.0,12.0,1.0,5.0,0.0,0.0,31.0,29.0,17.0,49.0,1.04,0.0,0.53,0.44,4.16,1.39,0.72,0.29,1.6,0.9,67.0,74.0,66.0,73.0,1.0,0.0,5.31,3.05,7.2,8.65,2.01,3.12,0.63,0.52,0.66,0.52
0,1,0,20.0,12.0,6.0,2.0,0.0,0.0,35.0,39.0,49.0,58.0,0.1,0.0,0.57,0.49,1.95,2.86,0.4,0.66,0.0,0.0,69.0,68.0,68.0,72.0,0.0,0.0,5.39,3.56,11.0,10.5,3.4,3.97,0.57,0.52,0.62,0.62
0,1,0,21.0,19.0,6.0,10.0,0.0,0.0,32.0,36.0,49.0,7.0,0.7,0.37,0.5,0.48,1.92,1.87,0.37,0.57,0.2,0.8,66.0,69.0,71.0,73.0,3.0,0.0,4.79,3.35,12.266666666666667,12.316666666666666,4.99,3.33,0.56,0.55,0.71,0.68
