name,nickname,wins_x,losses_x,draws_x,height_x,weight_x,reach_x,stance_x,dOB_x,sig_strikes_landed_per_min_x,sig_striking_accuracy_%_x,sig_strike_absorbed_per_min_x,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_x,takedown_average(average_takedown_landed_per_fifteen_min)_x,takedown_accuracy_%_x,takedown_defense(%_of_opponent_takedown_not_landed)_x,sub_average(average_subs_attempted_per_15_mins)_x,wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge,wins,losses,draws,height,weight_y,reach,stance_y,dOB_y,sig_strikes_landed_per_min_y,sig_striking_accuracy_%_y,sig_strike_absorbed_per_min_y,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_y,takedown_average(average_takedown_landed_per_fifteen_min)_y,takedown_accuracy_%_y,takedown_defense(%_of_opponent_takedown_not_landed)_y,sub_average(average_subs_attempted_per_15_mins)_y
Dave Terrel,The Bionic,7.0,7.0,0,"5' 8""",170 lbs.,--,Southpaw,10-May-78,2.62,43%,2.8,48%,3.28,38%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,7,0,"5' 8""",170 lbs.,--,Southpaw,10-May-78,2.62,43%,2.8,48%,3.28,38%,100%,0.0
Dave Zitanick,!,5.0,7.0,0 (1 NC),--,170 lbs.,--,,5-Mar-80,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,7,0 (1 NC),--,170 lbs.,--,,5-Mar-80,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Davi Bittencourt,The Black,14.0,4.0,0,"5' 5""",135 lbs.,"65""",Orthodox,12-Oct-94,4.15,66%,1.51,46%,14.15,33%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,4,0,"5' 5""",135 lbs.,"65""",Orthodox,12-Oct-94,4.15,66%,1.51,46%,14.15,33%,0%,0.0
David Abbott,Tank,10.0,15.0,0,"6' 0""",265 lbs.,--,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,15,0,"6' 0""",265 lbs.,--,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0.0
David Avellan,!,2.0,1.0,0,"5' 9""",185 lbs.,--,Orthodox,--,3.33,25%,10.0,57%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,1,0,"5' 9""",185 lbs.,--,Orthodox,--,3.33,25%,10.0,57%,0.0,0%,0%,0.0
David Barrios,!,4.0,8.0,0,"5' 6""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,8,0,"5' 6""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
David Blanco,!,2.0,0.0,0,"5' 7""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,0,0,"5' 7""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
David Douglas,Tarzan,9.0,7.0,0,"5' 11""",155 lbs.,--,,16-Aug-81,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,7,0,"5' 11""",155 lbs.,--,,16-Aug-81,0.0,0%,0.0,0%,0.0,0%,0%,0.0
David Gardner,!,18.0,21.0,0,"5' 11""",155 lbs.,--,Orthodox,17-May-77,0.17,100%,0.34,0%,0.0,0%,66%,0.0,,,,,,,,,,,,,,,,,,,,left_only,18,21,0,"5' 11""",155 lbs.,--,Orthodox,17-May-77,0.17,100%,0.34,0%,0.0,0%,66%,0.0
David Gomez,!,1.0,2.0,0,--,155 lbs.,--,,8-Aug-83,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,2,0,--,155 lbs.,--,,8-Aug-83,0.0,0%,0.0,0%,0.0,0%,0%,0.0
David Hulett,Hollywood,22.0,10.0,0,"5' 10""",170 lbs.,--,,7-Sep-80,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,22,10,0,"5' 10""",170 lbs.,--,,7-Sep-80,0.0,0%,0.0,0%,0.0,0%,0%,0.0
David Kaplan,Diamond,3.0,4.0,0,"5' 7""",155 lbs.,--,Orthodox,16-Nov-79,2.88,46%,4.32,67%,4.88,43%,0%,0.7,,,,,,,,,,,,,,,,,,,,left_only,3,4,0,"5' 7""",155 lbs.,--,Orthodox,16-Nov-79,2.88,46%,4.32,67%,4.88,43%,0%,0.7
David Marshall,!,8.0,4.0,0,"6' 2""",170 lbs.,--,,24-Aug-84,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,4,0,"6' 2""",170 lbs.,--,,24-Aug-84,0.0,0%,0.0,0%,0.0,0%,0%,0.0
David Michaud,BullDawg,11.0,3.0,0,"5' 9""",155 lbs.,--,Orthodox,10-Nov-88,3.25,43%,4.45,54%,2.53,58%,77%,0.7,,,,,,,,,,,,,,,,,,,,left_only,11,3,0,"5' 9""",155 lbs.,--,Orthodox,10-Nov-88,3.25,43%,4.45,54%,2.53,58%,77%,0.7
