name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Lukasz Brzeski,The Bull,9.0,4.0,1,32.0,55,0.0,0.49,0.48,0.5,0.5,76,78,0.0,4.78,12.366666666666667,3.15,0.56,0.36
Lukasz Sajewski,Wookie,13.0,3.0,0,33.0,55,0.0,0.35,1.01,0.25,0.0,68,71,0.0,2.06,9.866666666666667,3.88,0.57,0.66
Luke Barnatt,The Bigslow,13.0,4.0,0,36.0,17,0.42,0.36,0.63,0.42,0.4,78,77,0.0,4.43,11.933333333333334,3.87,0.59,0.63
Luke Cummo,The Silent Assassin,6.0,6.0,0,44.0,17,0.71,0.43,0.89,0.55,1.4,72,74,0.0,1.74,12.066666666666666,1.5,0.59,0.42
Luke Flores,232,9.0,2.0,0,36.0,17,0.0,0.44,0.0,0.0,1.2,72,73,1.0,1.56,5.05,1.88,0.6,0.4
Luke Jumeau,The Jedi,13.0,5.0,0,36.0,71,0.0,0.43,0.25,1.0,0.0,71,72,0.0,2.93,15.0,3.17,0.58,0.86
Luke Rockhold,638,16.0,6.0,0,39.0,17,0.91,0.49,0.7,0.29,1.0,75,77,1.0,4.1,7.75,2.68,0.53,0.65
Luke Sanders,Cool Hand,13.0,5.0,0,38.0,17,0.95,0.52,0.71,0.3,0.2,66,67,1.0,6.61,7.35,4.37,0.5,0.72
Luke Zachrich,838,14.0,4.0,0,42.0,17,0.0,0.32,0.74,0.33,0.0,74,74,0.0,4.56,6.733333333333333,4.46,0.62,0.8
Lyman Good,Cyborg,21.0,6.0,0,39.0,17,0.82,0.48,0.27,1.0,0.0,72,74,0.0,5.34,9.133333333333333,4.01,0.63,0.75
Lyoto Machida,The Dragon,24.0,8.0,0,46.0,57,0.69,0.53,1.21,0.65,0.4,73,74,1.0,2.59,11.616666666666667,1.57,0.61,0.75
Mac Danzig,151,21.0,12.0,1,44.0,17,0.3,0.48,1.2,0.37,0.6,68,70,0.0,3.39,10.983333333333333,3.44,0.57,0.46
Mackens Semerzier,Da Menace,8.0,4.0,0,43.0,17,0.0,0.45,2.14,0.5,2.1,69,72,0.0,2.91,8.016666666666667,3.48,0.46,0.5
Mackenzie Dern,163,13.0,5.0,0,31.0,17,0.17,0.4,0.79,0.15,1.3,64,63,0.0,3.31,13.216666666666667,4.09,0.51,0.28
Macy Chiasson,124,10.0,3.0,0,32.0,17,0.3,0.44,2.38,0.37,0.5,71,72,0.0,3.53,10.066666666666666,2.53,0.46,0.62
Mads Burnell,100,9.0,3.0,0,30.0,54,0.0,0.41,3.45,0.47,0.4,68,69,0.0,1.28,13.033333333333333,2.71,0.51,0.22
Magnus Cedenblad,Jycken,14.0,5.0,0,42.0,52,0.32,0.51,2.87,0.64,1.0,77,79,0.0,2.38,7.85,3.02,0.4,0.66
Magomed Ankalaev,34,19.0,1.0,1,32.0,51,0.71,0.53,1.02,0.31,0.0,75,75,0.0,3.64,11.35,2.25,0.59,0.86
Magomed Gadzhiyasulov,243,8.0,0.0,0,30.0,97,0.0,0.46,6.0,0.85,0.0,74,75,0.0,4.87,15.0,1.6,0.73,1.0
Magomed Mustafaev,The Sniper,14.0,4.0,0,35.0,51,0.83,0.58,3.31,0.5,0.4,68,71,0.0,2.59,7.25,2.68,0.41,0.23
